Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,118
V341 Leo = GSC 4923-0693 (=ASAS J112518-0047.3 =CSS_J112518.3-004714),11 25 18.4,-00 47 14,13.2,14.0,1.60,,TP01,"dsu17,TP18",dsu05,,,,,,,,,,,,
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,FD31,FD28,"AB05, FD05,14",FD02,JH,JH,,,,,,,,,,
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14,,dsu02,"FD01, 16",FD04,,,,,,,,pv23,,,,
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,,"JVW01, FD17","FD02, 19","dsu07, fd08",,,dsu08,,,,,JVW25,,,,
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,FD14,FD15,dsu06,,,,,,,,,,,,
V495 UMa (=GSC 4163-0984=NSVS 2672157),13 03 01.6,+60 01 16,12.7,13.2,1.91,SD17,"TP14, FD17","FD06, 23",TP6,,dsu19,,,,,,PV,,,,
GT CVn = GSC 3031-0307: multiperiodic,13 30 03.4,+43 30 14,14.3,14.6,2.40,,pv01,"AB02, AB17",AB04,,,,,,,,,,,,
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14.0,14.6,1.52,pv31,AB18,pv02,dsu04,,dsu17,,,,,,pv26,,,,
GSC 4969-0531 (= DDE 135),13 31 40.4,-04 55 21,14.8,15.4,1.42,,dsu02,,dsu02,,,,,,,,pv22,,,,
GSC 4979-1239 (=NSVS 13316502),14 18 10.0,-04 05 22,13.4,14.2,2.05,,,,,,,,,,,,,,,,
V729 Vir (=GSC 0321-0314=ASAS J142443+0438.8),14 24 43.4,+04 38 50,12.9,13.5,1.88,SD13,,AB19,dsu07,,dsu15,,,,,,,,,,
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,,pv01,pv02,pv25,,,,,,,,,,,,
V408 Boo (=GSC 0914-0684=NSVS 10553101),14 47 29.9,+11 58 39,13.3,13.7,1.87,,,"AB04, 18",AB03,,dsu02,,,,,,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10.0,2.33,,,,dsu01,,,,,,,,,,,,
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,,"JH02,13,16","dsu08,17",JH,JH,"fd02, JH","JH, fd09",,,,,,,,,
BC UMi (=GSC 4417-0394=VSX J152239.8+741517),15 22 39.8,+74 15 17,12.5,13.0,3.16,pv31,,pv04,,,SD13,JH,JH,,,HHU01,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.50,,pv02,TP08,TP30,,,,CKH,,,,,,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,,"JH02,13,16","JVW02,06",JH,,JH,JH,JH,,,,,,,,
