Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04,,,,IS20,,,,,MV11,"MV1, TK27",,
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,,,,,,,,,,"TK7, PVC11",,
GP And (=GSC 1739-1526),00 55 18.1,+23 09 49,10.4,11,1.89,,,,,,,,,MV18,"TK15+16, FD26",TK2,
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,,,,,,,MV12,"MV01, RP08",,,
GSC 0612-0771,01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,JH02,JH08,,,
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.2,,,,IS21,,,,,MV09,,FD1,FD26
GSC 2290-1195,01 09 22.3,+36 02 17,13.6,13.8,1.87,PNQ01,,,,,,,,MV20,FD31,,FD8
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,,,MV23,,,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,JH09,,,,,,,JH02,"JH09, PVC09+27",,,
AX Tri,01 31 49.2,+35 13 24,14.5,15.1,1.66,,,,,,,,,,"TK8+11, PVC12",,
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,,,,,,,,,MV28,,,
GSC 1220-1131,02 16 30.2,+21 17 49,10.8,11.1,1.95,,,,,,,,,,,,TK3
GSC 2843-1999,02 27 38.7,+43 14 43,13.5,13.9,1.49,,,,,,,,,MV26,,,TK7
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.8,,,,,,,,,MV25,MV11,,
GSC 2861-0970 (=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,,,,,,,,,MV28,,MV2,MV23
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92,,MV27,,,,,,MV01,MV10,,TK1,
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,,IS17,"IS04, FD12",IS19,,,,"MV05,JVW22",JVW09+26,JVW1,,MV8
GSC 1306-0466 (= ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,"MV14,24",MV18,FD16,FD19,,,,,MV20,MV12,,
V799 Aur = GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,,"FD3+8+17, MV4","FD7, GCJ10",,,,,,MV9,MV1,,"MV2, TK7"
GSC 0753-1489,07 04 52.4,+10 27 24,12.2,12.6,2.24,AB02,AB06,,,,,,,,,,
GSC 0191-1282,07 37 58.4,+05 52 28,12.8,13.2,1.14,JH08,JH11,"PNQ11+12+14+15, JH11",,,,,,,,,
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,JH11,,,,,,,,,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,,JH11,,JH22,,,,,MV28,,,
