Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11,1.82,,JH11,FD22,"JH21
",,,,,MV18,,,
NT Cam,08 24 17.4,+74 30 25,13.1,13.5,1.98,,,,,IS12+23+31,IS03+04+09+10+11+16,,,IS26+27+28,,,
GSC 2496-0118,09 14 52.4,+34 18 35,12.9,13.3,1.63,,MV8,,"FD13, JH15",,,,,,,,
GSC 3428-1497,09 21 02.5,+49 05 54,9.3,9.8,1.78,MV02,MV17,"MV3, IS12","JH15, MV14",,,,,,,,
GSC 3810-1553,09 37 23.5,+55 08 48,13.1,13.4,1.70,,"AB12, FD18",FD25,JH17,,,,,,,,
GSC 2501-1015,09 47 05.6,+32 01 55,13.1,13.4,3.58,,,,,,,,,,,,
GSC 3004-0870,10 21 35.3,+40 31 41,13.8,14.3,1.97,,"AB15, GCJ24",AB06,FD14,,,,,,,,MV8
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10,4.88,,,,"PVC8, JH14",,,,,,,,
GSC 4914-0997 (=LINEAR 23679553),10 57 58.3,-01 41 12,14.5,14.8,1.66,,,,,,,,,,,,
V451 Dra = GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34,MV4,IS04,"IS06, FD10",JH14,IS09,IS07,,,FD09,,TK4,
GSC 4923-0693,11 25 18.4,-00 47 14,13,13.7,1.60,JH14,,AB12,"PVC6+19, JH20",,JH4,JH22,,,FD1,,
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,MV24,"RP04, IS18",IS07,"MV11, 21",,,,,,,,
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,,"IS15, JVW17+27","MV04, JVW06+26","JH14, 23",,,,,,TK13,,
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,,"PVC17, MV22",JH17,,,,,,,,
"GSC 4163-0984
",13 03 01.6,+60 01 16,12.7,13.2,1.91,,MV4,IS07,"MV9+17, FD23",,,,,,,MV2,
GT CVn = GSC 3031-0307,13 30 03.4,+43 30 14,14.3,14.6,2.40,,,AB11,"MV9,19",,,,,,,,
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14,14.6,1.52,,,,,,,,,,,,
GSC 0321-0314,14 24 43.4,+04 38 50,12.9,13.5,1.88,,,,JH15,,,,,,,,
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,,MV28,MV03+12,MV8,,,,,,,,
GSC 0914-0684,14 47 29.9,+11 58 39,13.3,13.7,1.87,,,,,,,,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10,2.33,,IS18,,JH19,,JH4,,,,,,
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,,,,"MV08+22, PVC15+20",,,,,,,,
GSC 4417-0394,15 22 39.8,+74 15 17,12.5,13,3.16,,IS24,JVW07,IS14+17,,,,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.5,,,,"MV05+18, PVC20",,,,,,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,,IS17,JVW04,IS08,IS05,,,,JVW25,JVW2+26+31,,
GSC 0933-0651,15 36 02.0,+11 06 58,12.5,13,2.53,,,,JH17,,,,,,,,
GSC 3489-0868,15 41 37.0,+51 59 25,13.4,13.7,2.08,,MV8,,AB14,,,,,,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,,,"MV06, 19",,,,,,,,
GSC 5018-1085,15 46 13.5,-00 26 06,12.1,12.6,1.66,,,PVC18,JH20,,,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,IS28,,JH19,,,,,,,,
GSC 2043-1201,16 26 43.1,+23 29 42,11.9,12.2,1.87,,,IS10,"MV14+21, PVC8+15",,,,,,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,,,JH17,,,,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,,JH15,,,,,,,,
GSC 4196-1784,16 35 50.5,+66 19 33,13.5,14,4.13,,,,,,,,,,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,,,,"PVC6+21, MV9",,,GCJ12,,,,,
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13,,,,"JH21
",,,,,,,,
GSC 2080-0986,17 37 00.8,+25 32 10,13.3,13.6,2.38,,,,,,,,,,,,
GSC 0429-2098,17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,JH23,,,JH19+20+21,,,,,
GSC 3097-0583,17 56 09.3,+43 00 54,12.9,13.4,2.02,,,,MV9+19+21,,,GCJ19,,,FD12,,
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13,2.45,,,,MV15,,,,,,,,
GSC 2108-1564,18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,,,,,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,"IS09, JVW14
",JVW12,,,,,,JVW01,
GSC 1594-2234,19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,,,,,,,
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87,,,,,,,,GCJ08,,,,
GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,,MV15,,,,,,,,
GSC 1061-1651,19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,,,,,,,
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24,,,,"MV17,18",,,,MV01,WB09,,,
GSC 1076-0158,20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,,,AB21,,,,
NSVS 14243430,20 11 34.5,+07 51 04,13,13.5,2.07,,,,,,,JH17,,,,,
GSC 4464-0924,20 52 31.4,+70 54 39,12.4,12.7,1.94,,,FD23,JVW15+18,,JVW06,,"MV04, JVW05",,FD1,,
GSC 2696-1396,20 58 45.4,+34 06 47,12.8,13,2.47,,,,,,,,,AB09,,,
GSC 0513-0624,20 58 46.7,+01 44 52,12,12.3,1.74,,,,,,,JH16,,,,,
GSC 2194-2001,21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,,,,,,AB10,,,
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9,2.26,,,,MV22,,,,,,TK14,,
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,AB01,,,,AB01,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,,AB02,,,"MV10, PVC28, TK30",TK6,,TK27
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,,JH18,,,TK4+5,,
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,,,,,"PVC01, AB02",TK3+4,
GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29,,,,,,,,,,"MV12, AB11",,
DY Peg,23 08 51.2,+17 12 56,10,10.6,1.75,,,,,,,,,MV29,"TK3+4, FD31",,
GSC 1716-1598 (= NSVS 11869292),23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,,RP24,MV11,,,
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,2.48,,,,,,,,,,AB12,,
,,,,,,,,,,,,,,,,,
NSV 323,00 51 15.3,-59 03 56,13,13.6,3.51,,,,,,,,JH07,JH27,,,
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.2,,,,,,,,"JH17, 18",,,,
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10,2.18,,,,,,,,JH19,,,,
GSC 5858-1004 (=NSVS 14742359),01 57 54.9,-18 57 47,13.2,13.6,1.55,,,,,,,,"JH22, 23, 24",,,,
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15,,,,,,,,"JH09, 20",,,,
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14,1.8,,,,,,,,JH07,,,,
NSV 1122,03 21 19.1,-66 18 06,13.6,14.2,2.01,JH16,,,,,,,JH04,,,,
GSC 7027-0700 (=ASAS J033219-3539.3),03 32 18.8,-35 39 15,10.6,10.8,1.3,JH15,,,,,,,JH04,,,,
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35,,,,,,,,,,,,
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28,,,,,,,,,,,,
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88,,,,,,,,,,,,
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77,JH15,,,JH20,"JH10,12",JH3,,,,,,
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03,JH16,,JH16,JH30,JH16,JH3,,,,,,
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43,,,,,,,,,,,,
GSC 7737-0184 (=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46,JH22,,JH22+27+28,"JH23, 24","JH17,18",JH4,JH21,,,,,
GSC 6640-0450 (=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59,JH23,,JH12,JH22-29,JH19,JH4,JH18+20,,,,,
GSC 9238-0506 (=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12,12.4,2.92,JH18+19+20,,JH22+27+28,JH30,JH20,,JH15,,,,,
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14,2.17,JH15,,JH28,,JH21,,JH16+17,,,,,
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14,JH12+13,,JH12+13,JH22,JH22,,JH15+16+17,,,,,
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84,,,JH31,JH24,"JH24,27",,,,,,,
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75,JH16,,JH12+13,JH23,JH28,,,,,,,
GSC 7269-0239 (=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74,,,JH15,JH22,JH29,,,,,,,
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14,,,JH20,JH20,JH30,,,,,,,
GSC 4979-1239 (=NSVS 13316502),14 18 10.0,-04 05 22,13.4,14.2,2.05,,,JH20,JH26,,JH3,JH17,,,,,
GSC 5574-0509 (=NSVS 16129835),14 20 16.7,-13 31 29,12.5,13.2,1.88,,,JH22+27+29,JH21,,JH3,JH15+16,,,,,
GSC 5588-0315 (=ASAS J150900-1155.0),15 09 00.4,-11 55 01,13,14,1.81,,,,,,,,,,,,
GSC 7318-1556,15 28 58.8,-32 44 21,13.8,14.2,2.72,,,JH31,JH1,"JH12
",,,,,,,
GSC 8729-0957 (=ASAS J173551-5304.8),17 35 50.9,-53 04 48,12.2,12.9,2.72,,,,JH23,JH11,,,,,,,
V1307 Sco,17 37 41.7,-42 31 05,10.1,10.7,2.81,,,,JH24+25,JH10,JH4,JH16+17+18+20+21,,,,,
GSC 7438-1045 (=ASAS J194734-3547.8),19 47 33.9,-35 47 45,11.2,11.8,1.52,,,,,JH16,,JH15,,,,,
GSC 8459-0201 (=ASAS J234003-4738.7),23 40 03.3,-47 38 38,11.4,11.8,2.67,,,,,,,JH19,,JH26,,,
GSC 7519-0109 (=ASAS J235951-3343.5),23 59 51.2,-33 43 33,11.2,11.9,4.01,,,,,,,JH20,,"JH26,27",,,
