GSC 2696-1396,RA,DEC,Max,Min,Periode,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec
GSC 3489-0868,15 41 37.0,+51 59 25,13.4,13.7,2.08,,,,,FN27,,,,,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,,,,,AA11,,,,,,
GSC 5018-1085,15 46 13.5,-00 26 06,12.1,12.6,1.66,,,,,,,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,,,,IS26,,,,,,,
GSC 2043-1201,16 26 43.1,+23 29 42,11.9,12.2,1.87,,,,,,,,,,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,,,,,AA02,,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,,,,,AA08,,,,,
GSC 3074-0114,16 41 06.9,+40 42 28,13.8,14.5,1.23,,,,,IS29,,,,,,,
V1086 Her,16 48 39.3,+30 27 45,13.4,13.7,3.13,,,,,,AA30,,,,,,
GSC 2080-0986,17 37 00.8,+25 32 10,13.3,13.6,2.38,,,,,MAV29,AA10,,,,,,
GSC 0429-2098,17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,MAV28,,,,,,,
V593 Lyr,18 32 06.6,+40 35 56,12.4,13,2.45,,,,,MAV25,,,,,,,
GSC 2108-1564,18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,MAV28,AA09,,,,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,IS10,IS23+25,,,AA21,,,,,,
GSC 1594-2234,19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,MAV29,,,,,,,
GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,IS26+27,,,AA24,,IS28,IS09,,,
GSC 1061-1651,19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,,,,,,,
XX Cyg,20 03 15.6,+58 57 17,11.3,12.1,3.24,,,,,,,IS23,,,,KP04+08,
GSC 1076-0158,20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,,,AA05,,,,
NSVS 14243430,20 11 34.5,+07 51 04,13,13.5,2.07,,,,,,,AA06,,,,,
GSC 4464-0924,20 52 31.4,+70 54 39,12.4,12.7,1.94,,,,JVW16,,,,AA04,,,,
GSC 2696-1396,20 58 45.4,+34 06 47,12.8,13,2.47,,,,,,AA26,,,,,HHU22,
GSC 0513-0624,20 58 46.7,+01 44 52,12,12.3,1.74,,,,,,,,,AA01,,,
V2455 Cyg,21 28 24.6,+46 40 31,8.5,9,2.26,,,,,,AA28,MAV25,,,,,
NSVS 11672463,21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,,,,"AA07,PVC08,09",,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,,,MAV23,,"PVC03,AA26",,,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,,MAV25,IS28,,,AB01,
DY Peg,23 08 51.2,+17 12 56,10,10.6,1.75,,,,,,,MAV24,,"RP05,AA27",BS22,,
GSC 1716-1598,23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,,,,AA07,,
