Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14.0,2.04,SD10+13; VMT21,"VMT14, DS26",VMT21,,,SD11,SD15,JVW20,SD07,SD07,,
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,,SD26,,,,SD30,SD23,DSU30,SD07,SD07,,
NSV 323,00 51 15.3,-59 03 56,13.0,13.6,3.51,,,,,,,,,,,,
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11.0,1.89,DSU20,MK05,,,,,,"BG14, AB23",BG06,,,
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.20,,,,,,,,,,,,
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,MK07,,,,,,"BG14, AB20",BG06,,MV07,
LR Psc (=GSC 0612-0771=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51,DSU21,MK06,,,,,,SD13,DSU21,SD30,,SD30
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20,,DS23,DS31,,,,SD23,JVW22,DSU18,,,
"V791 And (=GSC 2290-1195=2MASS J01092229+3602176), multiperiodic!",01 09 22.3,+36 02 17,13.6,13.8,1.87,"SD01, VMT11",VMT12,,,,,,SD08,BG06,FD29,,
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,SD17,,,,,,,SD08,"DSU13,DPP19",,,
GSC 7004-394 (=ASAS J012349-3643.7),01 23 49.0,-36 43 42,10.0,10.2,3.07,,,,,,,,,,,,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,"SD05, VMT07",VMT04+23,,,,,,DSU26,"DSU20, AB21",,,
AX Tri (GSC 02301-01168),01 31 49.2,+35 13 24,14.5,15.1,1.66,VMT07,"SD05, VMT05",,,,,,SD08,DSU05,,AB19,"AB03+18, FD03, MV06, VMT06, DSU30"
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13.0,13.5,2.57,SD20,VMT27,,,,,,BG14,BG15,,AB20,
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10.0,2.18,,,,,,,,,,,,
GSC 7553-883 (=ASAS J021313-4054.8),02 13 12.7,-40 54 50,12.4,12.8,2.77,,,,,,,,,,,,
DR Ari (=GSC 1220-1131=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95,DSU19,DSU11,,,,,,"DSU29, SD26",SD08,,,
V808 And (=GSC 2843-1999=1SWASP J022738.70+431443.4),02 27 38.7,+43 14 43,13.5,13.9,1.49,DSU19,DSU15,,,,,,,AB19,AB27,"MV20, SD23",
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15,,,,,,,,,,,,
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80,VMT14,DSU14,,,,,,"SD15, SD17",BG17,AB29,"GC07, SD23",
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14.0,1.8,SD09,,,,,,,SD18,,,,
GSC 7015-0399 (=ASAS J025743-3351.6) -- Non-radial,02 57 42.4,-33 51 35,11.4,11.6,1.56,"JH15,20,22",,,,,,,,,,,
NSV 1122,03 21 19.1,-66 18 06,13.6,14.2,2.01,JH20,,,,,,,,,,,
