Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
V1090 Per (=GSC 2861-0970=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,VMT11,MK05,MK12,,,,,,BG18,SD15,SD23,
GSC 9158-0919 (=ASAS J032246-7237.8),03 22 45.9,-72 37 46,12.1,12.4,3.11,,,,,,,,,,,,
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35,JH22,,,,,,,,,,,
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28,,,,,,,,,,,,
GSC 9492-2623 (=ASAS J040320-8342.0,04 03 20.1,-83 41 59,11.9,12.2,2.06,,,,,,,,,,,,
GSC 5894-0822 (=ASAS J042750-1846.3),04 27 49.6,-18 46 19,11.0,11.3,2.72,,,,,,,,,,,,
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11.0,2.92,,"MK07, RP14",VMT15,,,,,,RP,,,MV7
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88,SD07,,,,,,,,,,,
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,VMT11,"VMT20, MK19","VMT03, MK20",,,,SD23,,"BG19, JVW21",,,
GSC 8077-0922 (=ASAS J045800-4555.6),04 57 59.6,-45 55 33,12.9,13.8,2.47,,,,,,,,,,,,
GSC 8083-1319 (=ASAS J045801-5011.2),04 58 01.3,-50 11 08,12.7,13.1,2.25,,,,,,,,,,,,
GSC 2396-0781 (=DDE61),04 58 08.9,+34 08 50,14.8,15.2,2.50,SD06,"SD12, MV18",SD11,,,,,,,SD15,,
V1425 Tau (=GSC 1306-0466=ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,VMT01,"SD07, MK05","VMT02, SD10",VMT03,,,,,SD13,,,DSU30
V799 Aur = GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,,"GC02, DS10",MK12,,,,,,BG24,,"MV7, SD07",SD04
GSC 5942-675 (=ASAS J061614-1925.3),06 16 14.2,-19 25 16,12.5,13.1,1.80,,,SD02,,,,,,,,,
GSC 5371-0256 (=ASAS J061729-1202.9),06 17 29.0,-12 02 52,12.1,12.6,1.83,,SD27,,,,,,,,,SD19,
GSC 5938-0276 (=ASAS J062018-1733.3) -- Non-radial,06 20 17.8,-17 33 15,12.7,13.2,1.72,"SD03, JH04,21,22",JH13,,,,,,,,,,
GSC 5951-2804 (=ASAS J062443-1816.7),06 24 42.9,-18 16 43,11.1,11.3,1.60,,,,,,,,,,,,
GSC 8543-0414 (=ASAS J063245-5748.4),06 32 45.2,-57 48 20,12.5,13.0,2.18,,,,,,,,,,,,
GSC 5391-0017 (=ASAS J064635-1455.5),06 46 35.1,-14 55 28,12.2,12.9,2.29,,SD21,,,,,,,,,,
GSC 4801-3841 (=ASAS J065937-0047.0; multiperiodic),06 59 36.7,-00 46 58,9.7,9.9,2.61,"JH11,12,13",,"SD21, DSU28",,,,,,,,,
GSC 7636-1969 (=ASAS J065955-4201.2),06 59 54.8,-42 01 15,12.0,12.4,1.95,,,,,,,,,,,,
V488 Gem (=GSC 0753-1489=ASAS J070452+1027.5),07 04 52.4,+10 27 24,12.2,12.6,2.24,,"SD05, VMT23",VMT03,"DSU01, SD02",,,,,,,,"
"
GSC 5968-1693 (=ASAS J070529-1705.3),07 05 29.0,-17 05 18,12.1,12.5,2.16,,SD13,,,,,,,,,,
GSC 8909-1936 (=ASAS J070918-6117.4),07 09 18.0,-61 17 24,11.9,12.2,1.75,,,,,,,,,,,,
GSC 9179-0864 (=ASAS J071427-6907.6),07 14 27.0,-69 07 36,11.3,11.6,2.32,,,,,,,,,,,,
GSC 5395-4405 (=ASAS J071941-0913.3),07 19 41.1,-09 13 19,11.6,11.8,2.20,,SD17,SD16,,,,,,,,,
GSC 5974-2665 (=ASAS J072448-1924.0),07 24 48.0,-19 23 60,10.8,11.1,2.58,"JH05,06,07,09,10",SD27,,,,,,,,,,
GSC 7656-2098 (=ASAS J073713-4429.1),07 37 13.0,-44 29 06,12.6,13.4,1.48,,,,,,,,,,,,
FS CMi (=GSC 0191-1282=ASAS J073758+0552.3),07 37 58.4,+05 52 28,12.8,13.2,1.14,"SD05, VMT14","DSU11, VMT13, DS24",VMT02,VMT26,,,,,,,SD07,
GSC 5989-2164 (=ASAS J074918-1911.3),07 49 18.0,-19 11 18,12.1,12.6,2.54,SD01,SD17,SD14,,,,,,,,,
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,"DS13, SD14, SD15, SD25, RP15","DSU18, SD18",SD01,,,,,,,,
GSC 7650-2147 (=ASAS J075413-4005.3),07 54 13.0,-40 05 18,12.8,13.5,2.52,,,,,,,,,,,,
GSC 8928-1300 (=ASAS J080102-6340.5),08 01 02.0,-63 40 30,11.2,11.4,1.82,,,,,,,,,,,,
GSC 5425-0343 (=ASAS J080529-1357.5),08 05 28.7,-13 57 31,12.7,13.3,2.41,SD05,,SD13,,,,,,,,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,MV09,"MV15, MV25",MK20,,,,,,,,,MV06
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11.0,1.82,,DSU14,GC12,DSU19,,,,,,,,"SD04, DSU30"
NP Lyn (=GSC 2496-0118=NSVS 7446012),09 14 52.4,+34 18 35,12.9,13.3,1.63,VMT04,"SD04, VMT14, MV18",VMT08,VMT25,VMT01,,,,,,"SD08, SD15",
V436 UMa (=GSC 3428-1497=HD 80366; multiperiodic),09 21 02.5,+49 05 54,9.3,9.8,1.78,,MV17,,DSU30,,,,,,,,SD07
GSC 2998-0537 (multiperiodic),09 36 04.8,+44 40 42,13.3,13.9,1.30,"SD01, VMT04","VMT13, GC22, AB23, GV23+24",VMT02,VMT11,VMT11,,,,,,"MV20, SD08, SD15",SD07
V447 UMa (=GSC 3810-1553 =NSVS 2522816),09 37 23.5,+55 08 48,13.1,13.4,1.70,VMT25,"MV11, MV26",MV18,,DSU25,,,,,,,SD07
GSC 2501-1015 (=NSVS 7467387; multiperiodic),09 47 05.6,+32 01 55,13.1,13.4,3.58,"SD18+21, VMT25",VMT27,,,SD03,,,,,,,
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77,SD04,SD26,,,,,,,,,,
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03,SD05,"JH25, SD25",SD25,,,,,,,,,
V468 UMa (=GSC 3004-0870),10 21 35.3,+40 31 41,13.8,14.3,1.97,SD10,"GC14, SD14, GV14-17, RP21-24","VMT21, SD21",DSU20,"DSU12, DSU14",,,,,,,
GSC 6627-0161=SSS_J102728.0-274532,10 27 28.1,-27 45 33,14.8,15.0,1.12,,JH24,SD28,,,,,,,,,
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10.0,4.88,MV20,"MV15, MV27",MV28,"DSU21,DSU22",,,,,,,,
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43,SD01,JH23,SD02,SD03,,,,,,,,
GSC 4914-0997 (=LINEAR 23679553),10 57 58.3,-01 41 12,14.5,14.8,1.66,SD06,SD03,VMT14,SD29,,,,,,,,
V554 Vel (=GSC 7737-0184=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46,JH19,JH18,,,,,,,,,,
V673 Hya (=GSC 6640-0450=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59,SD13,JH19,,,,,,,,,,
V451 Dra = GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34,VMT12,"JVW14+24+26, DS25","VMT07, FD31",VMT20,SD29,JDC01,SD05,GV29,,,,
V341 Leo = GSC 4923-0693 (=ASAS J112518-0047.3),11 25 18.4,-00 47 14,13.2,14.0,1.60,,SD09,VMT08,"SD11, VMT27","SD04, DSU05, DSU11",,,,,,,
V358 Mus (=GSC 9238-0506=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12.0,12.4,2.92,JH21,JH18,,,,,,,,,,
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,MV20,"SD10, MV25",VMT11,DSU19,DSU24,,,,,,,
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14.0,2.17,,SD12,SD15,,,,,,,,,
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14,,"JH21, SD26, SD27",,SD21,SD05,,,,,,,
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,VMT09,"VMT13, JVW15",VMT02,VMT12,,DSU27,,SD15,,,,
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,"SD14, SD17, RP15",VMT13,"GC10, VMT26",DSU13,,,,,,,
GSC 5525-0031=CSS_J121402.3-123150,12 14 02.3,-12 31 50,14.3,14.8,2.13,SD06,SD04,SD10,SD10,,,,,,,,
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84,,JH20,,JH14,,,,,,,,
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75,,"JH22, SD22",SD08,,,,,,,,,
V495 UMa (=GSC 4163-0984=NSVS 2672157),13 03 01.6,+60 01 16,12.7,13.2,1.91,MV19,SD04,"GC10, VMT11",MV21,DSU28,SD20,GCJ04,DSU01,,,,
GT CVn = GSC 3031-0307: multiperiodic,13 30 03.4,+43 30 14,14.3,14.6,2.40,SD07+11; VMT21,"MV15, RP24","VMT09, MV29, RP17","MV11, VMT23",SD26,,,,,,,
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14.0,14.6,1.52,,"GC11, RP27",VMT07,"MV1, VMT29",DSU14,DSU28,DSU23,,,,,
V1421 Cen (=GSC 7269-0239=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74,JH22,JH15,,,,JH18,JH17,,,,,
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14,,JH14,JH14,,,JH18,JH17,,,,,
GSC 4979-1239 (=NSVS 13316502),14 18 10.0,-04 05 22,13.4,14.2,2.05,,SD27,,,SD28,SD05,,,,,,
QV Vir,14 18 36.7,-06 37 38,14.7,15.2,1.62,SD11,SD05,SD09,SD29,SD30,,,,,,,
GSC 5574-0509 (=NSVS 16129835),14 20 16.7,-13 31 29,12.5,13.2,1.88,,JH14,"VMT07, VMT11, VMT15","SD03, VMT23",,SD04,,,,,,
V729 Vir (=GSC 0321-0314=ASAS J142443+0438.8),14 24 43.4,+04 38 50,12.9,13.5,1.88,SD04,SD17,VMT11,"DSU20, AB15",DSU12,,,,,,,
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,SD25,"SD10, MV18","VMT12, GC29",MV18,,,,,,,,
KV Lib,14 46 00.8,-10 13 16,14.1,14.7,1.76,,JH19,,JH15,,,,,,,,
V408 Boo (=GSC 0914-0684=NSVS 10553101),14 47 29.9,+11 58 39,13.3,13.7,1.87,VMT13,SD21,VMT18,MV19,MV13,SD09,DSU01,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10.0,2.33,,JH16,SD21,SD01,"DSU30,31",,,,,,,
GSC 5588-0315 (=ASAS J150900-1155.0),15 09 00.4,-11 55 01,13.0,14.0,1.81,,,VMT11,SD02,SD02,,,,,,,
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,MV09; VMT21,"VMT17, SD17",VMT11,"SD11, VMT26",DSU11,DSU06,,,,,,
BC UMi (=GSC 4417-0394=VSX J152239.8+741517),15 22 39.8,+74 15 17,12.5,13.0,3.16,,MV17,SD15,MV19,,,SD04,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.5,SD21,SD14+15+24,SD28,"SD10, VMT28",,DSU24,,,,,,
GSC 7318-1556,15 28 58.8,-32 44 21,13.8,14.2,2.72,,,,,,,,,,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,SD26,"MV17, JVW23",SD23,,,,,JVW18,,,BW30,
V643 Ser (=GSC 0933-0651=ASAS J153602+1107.0),15 36 02.0,+11 06 58,12.5,13.0,2.53,,,"SD11, RP30",DSU15,DSU04,DSU18,,,,,,
NSV 7158,15 37 12.8,-19 00 38,14.2,14.6,2.03,,,,,,,,,,,,
GSC 6185-0215 (=CSS_J154132.9-161200),15 41 32.9,-16 12 00,14.6,15.1,1.92,,,SD15,SD10,SD04,SD01,,,,,,
V417 Boo (=GSC 3489-0868=NSVS 5201535),15 41 37.0,+51 59 25,12.8,13.3,2.08,,SD08,RP29,MV21,MV05,SD19,DSU29,DSU19,DSU20,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,SD07,"RP18, MV28",MV20,MV12,,,,,,,
V645 Ser (=GSC 5018-1085=ASAS J154613-0026.1),15 46 13.5,-00 26 06,12.1,12.6,1.66,,JH17,SD28,,DSU13,DSU17,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,"JH18, SD17",SD28,,,,,,,,,
V1462 Her (=GSC 2043-1201=ASAS J162643+2329.7),16 26 43.1,+23 29 42,11.9,12.2,1.87,VMT21,"VMT27, SD25",SD20,DSU18,VMT20,DSU15,DSU24,DSU29,,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,SD24+26+27,VMT23,"SD12, VMT30",,DSU16,SD20,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,SD14,SD18,SD10,,DSU29,,,,,,
V553 Dra (=GSC 4196-1784=VSX J163550.5+661932),16 35 50.5,+66 19 33,13.5,14.0,4.13,,"SD14, MV26",SD13,MV20,MV11,,,SD14,DSU18,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,"SD10, VMT12",VMT14,"VMT11, SD20",VMT17,"VMT02, GC16,20","DSU22, VMT21","SD07, DSU22",DSU20,,,,
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13,,MV27,SD27,,,DSU21,SD01,,,,,
V1051 Ara (=GSC 8729-0957=ASAS J173551-5304.8),17 35 50.9,-53 04 48,12.2,12.9,2.72,,,,,JH14,,,,,,,
V1502 Her (=GSC 2080-0986=ASAS J173701+2532.2),17 37 00.8,+25 32 10,13.3,13.6,2.38,,,SD18,SD11,SD21,SD10,DSU03,,,,,
V1307 Sco,17 37 41.7,-42 31 05,10.1,10.7,2.81,,,,,JH13,,,,,,,
V3705 Oph (=GSC 0429-2098=ASAS J175245+0700.7),17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,SD24,DSU25,SD29,,,,,
V1513 Her (=GSC 3097-0583=NSVS 5362489),17 56 09.3,+43 00 54,12.9,13.4,2.02,MV20,"MV11, MV18",SD25,MV21,,SD12,DSU16,DSU18,SD07,,,
GSC 2623-1174 (= ASASSN-V J182439.29+303218.7),18 24 39.3,+30 32 19,14.3,14.7,1.38,,VMT17,"SD09, VMT11",SD02,MV15,DSU20,DSU20,SD16,DSU19,YO1,,
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13.0,2.45,,"MV15, MV25",MV21,,"SD05, MV24",,DSU23,DSU22,SD07,,,
V1535 Her (=GSC 2108-1564=ASAS J184744+2313.2),18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,SD19,,DSU30,DSU22,DSU23,BG18,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,MV17,SD15,,,SD16,,DSU19,DSU13+14,,,
V411 Sge (=GSC 1594-2234=ASAS J190724+1901.4),19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,JH16,,DSU31,DSU25,,,,
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87,,"VMT27, SD27",,MV18,SD27,DSU22,DSU16,DSU01,"DSU01, SD07",,,FD02
V2684 Cyg = GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,"SD14, SD15",,SD11,MV14,MV22,,BG13,BG05,,,
V1965 Aql (=GSC 1061-1651=ASAS J194355+0950.5),19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,JH16,,SD03,DSU26,DSU21,,,
V6544 Sgr (=GSC 7438-1045=ASAS J194734-3547.8),19 47 33.9,-35 47 45,11.2,11.8,1.52,,,,,JH15,,,,,,,
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24,,,SD22,MV18,SD20,SD13,,BG13,BG05,,,
GSC 1076-0158 (=ASAS J200812+1050.8),20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,JH13,DSU28,DSU29,SD11,DSU04,,,
NSVS 14243430,20 11 34.5,+07 51 04,13.0,13.5,2.07,,,,MV19,JH15,,JH18,DSU30,YO18,,,
V973 Cep= GSC 4464-0924 (multiperiodic),20 52 31.4,+70 54 39,12.4,12.7,1.94,DS14+20,VMT20,SD20,JVW19+20,,,,DSU22+23+24,SD07,SD07,,
GSC 2696-1396 (=NSVS 8653951),20 58 45.4,+34 06 47,12.8,13.0,2.47,,,,,SD31,SD08,,BG17,"DSU15, BG15",,,
GSC 0513-0624 (=VSX J205846.6+014452),20 58 46.7,+01 44 52,12.0,12.3,1.74,,,,,JH14,,SD08,DSU29,,YO26,,
GSC 2194-2001 (=NSVS 8748519),21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,MV21,,MV02,,BG17,"DSU05, BG15",,,
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9.0,2.26,,,,"SD12, SD21",SD24,,,BG13,BG05,,,
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,,SD12,"BG18, DSU18","BG05,BG16",RP02,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,MV19,MV12,SD26,,BG13,DSU14,,,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,SD18,SD28,SD11,DSU04,YO13,SD09,
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,,"SD13, GV28","GV7, BG15",BG15,YO26,,
V547 Lac = GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29,,,,,,,SD14,BG18,"DPP17, YO29",,,
DY Peg,23 08 51.2,+17 12 56,10.0,10.6,1.75,DSU20,MK06,,,,SD22,"SD16, MK25","SD07, BW25","YO21, DSU21",,DSU30,
GSC 1716-1598 (= NSVS 11869292; multiperiodic),23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,,BG15,"DSU08+10, BG15",,,
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,2.48,,,,,,,SD02,DSU25,DSU19,,,
GSC 8459-0201 (=ASAS J234003-4738.7),23 40 03.3,-47 38 38,11.4,11.8,2.67,,,,,,,,,,,,
GSC 7519-0109 (=ASAS J235951-3343.5),23 59 51.2,-33 43 33,11.2,11.9,4.01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Southern stars,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Purple: multiple pulsation modes (observe on consecutive nights),,,,,,,,,,,,,,,,,
Blue coordinates: not yet observed,,,,,,,,,,,,,,,,,
Red: period changes found,,,,,,,,,,,,,,,,,
Orange: period changes possible,,,,,,,,,,,,,,,,,
