Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
V341 Leo = GSC 4923-0693 (=ASAS J112518-0047.3),11 25 18.4,-00 47 14,13.2,14.0,1.60,JH26,,AB06,DB14,,,,,,,,
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,,JH23,"GC07, MV06",,SD25,,,,,,,
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,,"IS12C, JVW26, GBC",JVW06,"FD17, IS22C, GBC25",,,,,,TV22,,JVW21
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,"GC25, BG25",GC17,,,,,,,,,
V495 UMa (=GSC 4163-0984=NSVS 2672157),13 03 01.6,+60 01 16,12.7,13.2,1.91,MV9,JH23,"MV05, HHU30",MV04,"SD24, PV28+30",,,,,,,
GT CVn = GSC 3031-0307: multiperiodic,13 30 03.4,+43 30 14,14.3,14.6,2.40,,,AB02,MV12,SD25,,,,,,,
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14.0,14.6,1.52,,JH23,AB23,MV13,SD24,,,,,,,SD16
V729 Vir (=GSC 0321-0314=ASAS J142443+0438.8),14 24 43.4,+04 38 50,12.9,13.5,1.88,,,AB31,SD03,SD29,,,,,,,
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,,SD23,SD25,JH29,,,,,,,,
V408 Boo (=GSC 0914-0684=NSVS 10553101),14 47 29.9,+11 58 39,13.3,13.7,1.87,,,JH01,"JH23,29",TV01,TV10,,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10.0,2.33,,,,JH23,,SD12,,,,,,
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,MV1,JH27,JH01,"JH18, 26, 27",JH07,,,,,,,
BC UMi (=GSC 4417-0394=VSX J152239.8+741517),15 22 39.8,+74 15 17,12.5,13.0,3.16,,SD23,SD25,JH18,JH01,,"SD23, 24",,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.50,,GC27,JH05,"JH18,26",JH07,,MK13,,,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,,JH24,JH02,"JH18, 27",JH01,,,,,,,
V643 Ser (=GSC 0933-0651=ASAS J153602+1107.0),15 36 02.0,+11 06 58,12.5,13.0,2.53,,,,"JH23, SD24",JH02,,,,,,,
V417 Boo (=GSC 3489-0868=NSVS 5201535),15 41 37.0,+51 59 25,12.8,13.3,2.08,,JH24,JH28,"JH22,29",JH07,,,,,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,MV09,"JH05+28, MV05","JH22,25",JH02,,,,,,,
V645 Ser (=GSC 5018-1085=ASAS J154613-0026.1),15 46 13.5,-00 26 06,12.1,12.6,1.66,,SD12,,SD24,SD30,,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,,,,,,,,,,,
V1462 Her (=GSC 2043-1201=ASAS J162643+2329.7),16 26 43.1,+23 29 42,11.9,12.2,1.87,,,JH06,JH19,GC24,SD03,,,MK,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,,JH06,JH19,,SD03,,,MK,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,BG24,,,,MK27,,MK,,,
V553 Dra (=GSC 4196-1784=VSX J163550.5+661932),16 35 50.5,+66 19 33,13.5,14.0,4.13,,SD23,SD25,,,JH06,,SD22,,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,,GC27,JH23,"JH20, DB16",JH31,TV12+13,SD29,SD24,,,,
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13,,,JH23,,JH31,SD26,SD28,SD23,,,,
V1502 Her (=GSC 2080-0986=ASAS J173701+2532.2),17 37 00.8,+25 32 10,13.3,13.6,2.38,,,JH23,"JH20,JH24",JH30,JH12,,,,,,
V3705 Oph (=GSC 0429-2098=ASAS J175245+0700.7),17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,,BW18,"BW3,BW4",,,,,
V1513 Her (=GSC 3097-0583=NSVS 5362489),17 56 09.3,+43 00 54,12.9,13.4,2.02,,,JH25,JH21,JH28,JH12,,SD20,,,,
"GSC 3104-0010 (=ASASSN-V J182033.14+391001.6)
",18 20 33.1,+39 10 02,13.7,14.1,1.87,,,,,,,,,,,,
GSC 2623-1174 (= ASASSN-V J182439.29+303218.7),18 24 39.3,+30 32 19,14.3,14.7,1.38,,,JH25,JH21,JH28,"JH10, TV14",,,,,,
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13.0,2.45,,,MV06,MV12,"JH28, MV29",JH10,SD25,SD20,,MK08,,
V1535 Her (=GSC 2108-1564=ASAS J184744+2313.2),18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,JH08,,SD26,,MK03,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,IS29,JVW23,JVW02,JH08,,SD22,SD18,SD20,,
V411 Sge (=GSC 1594-2234=ASAS J190724+1901.4),19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,,,SD26,,,,
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87,,,,MV12,MV30,,,,,,,
V2684 Cyg = GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,,,GC25,MV16,,,RP,,,
V1965 Aql (=GSC 1061-1651=ASAS J194355+0950.5),19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,,,,"BW01,03",,,
GSC 3570-0292 (multiperiodic),19 59 03.9,+50 46 39,11.5,11.7,2.09,,,,,MV31,HH13,,"JH13,14,15,16,23,24,30, FD15,20","JH02,03,04,05,06,07,08",,,
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24,,,,,GC28,MV14,,"JH12,13",SD18,SD20,,
V2008 Aql (=GSC 1076-0158=ASAS J200812+1050.8),20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,SD24,BW09,"JH14, HHU14",JH02,FN28,FN22,
V2013 Aql (=NSVS 14243430),20 11 34.5,+07 51 04,13.0,13.5,2.07,,,,,,SD23,,,"JH05,22",,,
V973 Cep= GSC 4464-0924 (multiperiodic),20 52 31.4,+70 54 39,12.4,12.7,1.94,,,,JVW16+22,,MV09,,"JH12,13,14,15,16,23,24,30","JH02,03,04,05,06,07,08,21,22,23,27","JH07,08,12 PV08, 12,31","PV09,10",PV08
V3092 Cyg (=GSC 2696-1396=NSVS 8653951),20 58 45.4,+34 06 47,12.8,13.0,2.47,,,,,,MV01,,JH11,,SD21,,
V490 Aqr (=GSC 0513-0624=VSX J205846.6+014452),20 58 46.7,+01 44 52,12.0,12.3,1.74,,,,,,SD22,,,SD22,,,
