Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14.0,2.04,,VMT22,VMT26,VMT13,VMT01,VMT03,VMT03,"VMT01, JVW05",SD29,VMT17,VMT13,VMT17
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,,VMT26,,,,,,RP17,SD23,RP09,"AB15-16, MV18, RP18",SD08
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11.0,1.89,,,,,,,,"VMT01, GV31",VMT23,SD4-7+15,"SD02, MV18",DSU12
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,,,,,,,MV05,SD19,,MV08,MV13
GSC 0612-0771 (=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,JH30,"VMT27, MK28","VMT25, MK20",JH04,,DSU18,DSU12
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20,,DS25,DS19,DS17,DS05,,,,DS01,DS10,DS01,DS03
GSC 2290-1195=2MASS J01092229+3602176 (Multiperiodic!),01 09 22.3,+36 02 17,13.6,13.8,1.87,,VMT23,,,,,VMT24,VMT18,"VMT13, GV01",VMT27,VMT14,VMT25
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,,,SD19,FD15,FN17,DSU17
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,JH07,,,,,,VMT24,"SD14, SD18",JH01,"VMT08, SD14+16","VMT02, SD30","VMT15, 30"
AX Tri,01 31 49.2,+35 13 24,14.5,15.1,1.66,,VMT22,,,,,VMT24,"RF09, SD13",VMT11,"VMT08+22, SD17",VMT03,"SD02+04, VMT30"
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13.0,13.5,2.57,,VMT27,,,,,,MV6,VMT23,,DS09,
GSC 1220-1131 (=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95,,,,,,,,,SD24-29,SD05+20+22,MV23,"MV11, DSU13"
GSC 2843-1999 (=1SWASP J022738.70+431443.4),02 27 38.7,+43 14 43,13.5,13.9,1.49,FD19,VMT25,,,,,,SD24,"VMT22, FD26",,"MV8, SD15",DSU25
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80,,VMT26,,,,,VMT24,,VMT22,,"GV5, FD14",SD13
GSC 2861-0970 (=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,,,,,,,,SD6+7+31,SD01,,FN19,"GV12, MV17"
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11.0,2.92,,FN18,,,,,,,VMT18,SD23,"MV17, RP17",SD09
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,MV7,"FN15, FD17",,,VMT17,VMT25,,"MV8, JVW15","VMT18, JVW26",JVW05,MV15,VMT30
DDE61,04 58 08.9,+34 08 50,14.8,15.2,2.50,"MV5, FL30","MV22, FD21",,,,,,,SD12,,MV18,
GSC 1306-0466 (= ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,MV5,"FN16, FD17, RP25",,,,,,,"VMT22, SD19",VMT23,VMT15,VMT17
V799 Aur = GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,MV7,MV16,HHU08,,,,,,SD08+12,SD4-7+15,"SD08+15+17, MV8",SD27
GSC 4801-3841 (=ASAS J065937-0047.0; multiperiodic),06 59 36.7,-00 46 58,9.7,9.9,2.61,,,,,,,,,,,"SD03, RP12",
GSC 0753-1489 (= ASAS J070452+1027.5),07 04 52.4,+10 27 24,12.2,12.6,2.24,JH06,"MV18, MV21",,,,,,,,,RP19,"SD13, VMT14"
GSC 0191-1282 (= ASAS J073758+0552.3),07 37 58.4,+05 52 28,12.8,13.2,1.14,JH05,MV16,,VMT16,VMT05,,,,VMT24,,"VMT15, GV18",VMT14
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,SD21-25,,,,,,,,,SD04,SD13+26
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,,"MV12,24",,,,,,,SD18,,,MV13
GSC 2496-0118 (=NSVS 7446012),09 14 52.4,+34 18 35,12.9,13.3,1.63,,"AB05, MV21",,"VMT19, VMT21","VMT09, VMT12",VMT12,,,,,SD24,SD22
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11.0,1.82,,MV12,,,VMT06,,,,,,RP02,SD30
GSC 3428-1497 (=HD 80366; multiperiodic),09 21 02.5,+49 05 54,9.3,9.8,1.78,,MV5,,,,,,,SD27+29,,MV18,
GSC 2998-0537 (multiperiodic),09 36 04.8,+44 40 42,13.3,13.9,1.30,,"AB07, RP22",,VMT13,VMT01,VMT12,,,,,VMT15,VMT14
GSC 3810-1553 (=NSVS 2522816),09 37 23.5,+55 08 48,13.1,13.4,1.70,,MV5,,,"FD4+7, VMT09, VMT12",,,,,,"MV8, SD16",SD10
GSC 2501-1015 (=NSVS 7467387; multiperiodic),09 47 05.6,+32 01 55,13.1,13.4,3.58,,"MV15,23, RP7",,,VMT03,,,,,,MV18,SD08
GSC 3004-0870,10 21 35.3,+40 31 41,13.8,14.3,1.97,,"AB13, MV25",,MV19,VMT09,,,,,,MV17,SD07
