Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10.0,4.88,,"MV8, 23, SD12",,,,,,,,,MV8,
GSC 4914-0997 (=LINEAR 23679553),10 57 58.3,-01 41 12,14.5,14.8,1.66,,,AB20; VMT26,,,,,,,,SD16,
V451 Dra = GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34,,"RF10, JVW21",DB31,VMT19,VMT01,VMT11,,VMT01,,VMT04,SD30,SD22
GSC 4923-0693 (=ASAS J112518-0047.3),11 25 18.4,-00 47 14,13.2,14.0,1.60,,AB17,"AB19, RP26","FD16, RP18","AB04, VMT04",JH24,,,,,,
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,,"MV15+22, PVC24",,MV18,,VMT27,,,,,MV15,MV13
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,,"FN17, JVW17",,VMT16,VMT01,"VMT11, JVW29",VMT24,VMT19,VMT01,,VMT17,JVW13
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,SD13-28,"SD19,26",FD17,VMT31,,,,,,,SD10
GSC 4163-0984 (=NSVS 2672157),13 03 01.6,+60 01 16,12.7,13.2,1.91,,MV21,,MV16,VMT31,VMT20,,,,,MV23,
GT CVn = GSC 3031-0307: multiperiodic,13 30 03.4,+43 30 14,14.3,14.6,2.40,,MV17,,MV16,,VMT20,VMT24,,,,,"SD14, VMT25"
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14.0,14.6,1.52,,MV21,AB24,MV18,VMT01,VMT11,,,,,,SD01
GSC 0321-0314 (=ASAS J142443+0438.8),14 24 43.4,+04 38 50,12.9,13.5,1.88,,,,JH06,VMT13,,,,,,,
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,,MV17,,MV21,FL14,VMT22,VMT24,,MK18,,,
GSC 0914-0684 (=NSVS 10553101),14 47 29.9,+11 58 39,13.3,13.7,1.87,,,,"JH06, MV21",VMT13,,,,,,,VMT31
EH Lib,14 58 56.0,-00 56 52,9.5,10.0,2.33,,,,JH06,"VMT14, RP3, SD06-08",JH25,,,,,,
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,,"MV5, 22",,"MV18, SD16-19",VMT20,VMT25,VMT05-20,"VMT06, DFS18, VMT31",VMT18,,,VMT31
GSC 4417-0394,15 22 39.8,+74 15 17,12.5,13.0,3.16,,MV8,,VMT26,,,,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.5,,MV12,,,"RP06, VMT20",,MK28,MK17,MK10,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,,"FD15, VMT22, JVW22,24",,JVW21,,VMT27,,JVW31,JVW13,,"JVW2,17",SD30
GSC 0933-0651 (=ASAS J153602+1107.0),15 36 02.0,+11 06 58,12.5,13.0,2.53,,,,JH05,,JH25,,,,,,
GSC 3489-0868 (=NSVS 5201535),15 41 37.0,+51 59 25,12.8,13.3,2.08,,VMT23,,VMT25,MV07,VMT21,,,,,,SD22
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,VMT21,SD20,MV19,MV05,VMT29,,,,,,
GSC 5018-1085,15 46 13.5,-00 26 06,12.1,12.6,1.66,,,,JH05,VMT05,VMT21,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,SD13-16,,JH23,,JH22,,,,,,
GSC 2043-1201 (=ASAS J162643+2329.7),16 26 43.1,+23 29 42,11.9,12.2,1.87,,VMT26,VMT26,VMT07,VMT03,VMT21,VMT06,,VMT23,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,,,JH24,VMT06,VMT22,,VMT19,MK27,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,SD22-28,"SD20,27",JH24,,VMT22,,MK16,MK07,MK05,,
GSC 4196-1784,16 35 50.5,+66 19 33,13.5,14.0,4.13,,MV23,,,MV07,,,,SD28,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,,VMT22,,VMT17,"VMT05+31, PVC07",VMT18,VMT05,VMT03,,,,
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13,,MV25,,VMT28,MV10,,VMT04,,,,,
GSC 2080-0986 (=ASAS J173701+2532.2),17 37 00.8,+25 32 10,13.3,13.6,2.38,,MV23,,VMT27,MV05,VMT27,,DFS25,,,,
GSC 0429-2098 (=ASAS J175245+0700.7),17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,SD17-19,VMT09,VMT24,VMT21,VMT10,MK29,MK11,,
GSC 3097-0583 (=NSVS 5362489),17 56 09.3,+43 00 54,12.9,13.4,2.02,,,,MV18,MV10,VMT22,VMT26,,,MK14,MK07,
GSC 2623-1174 (= ASASSN-V J182439.29+303218.7),18 24 39.3,+30 32 19,14.3,14.7,1.38,,,,MV16,VMT03,SD07+15+17,VMT03,"VMT01, GCJ14",,,SD15,
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13.0,2.45,,MV21,SD25,MV16,"VMT03, RP06",SD15,VMT27,VMT09,,DS09,MK05,
GSC 2108-1564 (=ASAS J184744+2313.2),18 47 43.7,+23 13 13,11.4,11.7,2.35,,MV21,,,"RP07, SD09",VMT25,,VMT26,VMT22,SD2-7+14+16,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,JVW20,JVW05+15,VMT30,,,,MK15,MK08,
GSC 1594-2234 (=ASAS J190724+1901.4),19 07 24.0,+19 01 24,10.5,10.8,3.28,,MV5,,,RP08,VMT27,,"VMT25, MK22",,,,
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87,,VMT22,,MV19,"VMT03, RP9+13",VMT25,VMT02,VMT25,,,,
V2684 Cyg = GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,MV22,,,MV07,VMT25,,MK19,,MK14,MK05,
GSC 1061-1651 (=ASAS J194355+0950.5),19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,JH05,,,SD04,,,
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24,,MV25,,MV19,,VMT25,,"MK18, RP06",MK13,MK05,MK06,
GSC 1076-0158 (=ASAS J200812+1050.8),20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,VMT29,,VMT26,,,,,SD23,
NSVS 14243430,20 11 34.5,+07 51 04,13.0,13.5,2.07,,,,VMT29,,"JH01,23",,VMT16,,SD24,,
V973 Cep= GSC 4464-0924 (multiperiodic),20 52 31.4,+70 54 39,12.4,12.7,1.94,,,,"VMT11, JVW17+18","VMT01, JVW04",VMT11,"VMT19, JD24",VMT06,VMT01,VMT17,VMT14,VMT17
GSC 2696-1396 (=NSVS 8653951),20 58 45.4,+34 06 47,12.8,13.0,2.47,,,,,,VMT28,,VMT06,,,,
GSC 0513-0624 (=VSX J205846.6+014452),20 58 46.7,+01 44 52,12.0,12.3,1.74,,,,,,"JH01,23",,SD10,,"FD16,  DSU05",DSU02,
GSC 2194-2001 (=NSVS 8748519),21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,MV21,MV5,"SD11,12",,"VMT08, RP10",,,DSU15,
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9.0,2.26,,,,,,SD13,,,,,MK06,
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,,,SD5+6,,,SD28,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,MV7,VMT29,VMT29,RP16,VMT01,,,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,JH28,,VMT03+18,"JH05, SD7+11",SD05+22,"SD03, DSU18",DSU25
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,VMT30,,,JH05,DB10,DSU22,DSU25
V547 Lac = GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29,,,,,,VMT28,VMT29,,,,,
DY Peg,23 08 51.2,+17 12 56,10.0,10.6,1.75,,,,,,,"MK26, SD09","MK13, SD17",JH06,VMT25,MK30,DSU13
GSC 1716-1598 (= NSVS 11869292; multiperiodic),23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,VMT05,VMT11,JH06,VMT27,SD23,SD02+04
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,2.48,,,,,,"SD13,14",,VMT26,,,,
,,,,,,,,,,,,,,,,,
Southern stars,,,,,,,,,,,,,,,,,
NSV 323,00 51 15.3,-59 03 56,13.0,13.6,3.51,,,,,,JH24,,,JH02,,,
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.20,,,,,,JH26,,,JH03,JH29,,
GSC 7004-394 (=ASAS J012349-3643.7),01 23 49.0,-36 43 42,10.0,10.2,3.07,,,,,,JH25,,"JH29,30,31",,JH27,,
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10.0,2.18,,,,,,JH27,,JH29,,JH28,,
GSC 7553-883 (=ASAS J021313-4054.8),02 13 12.7,-40 54 50,12.4,12.8,2.77,,,,,,,,"JH30,31",,,,
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15,JH05,,,,,,,JH31,,,,
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14.0,1.8,JH06,,,,,,,,"JH01, SD11",JH28,,SD31
GSC 7015-0399 (=ASAS J025743-3351.6) -- Non-radial,02 57 42.4,-33 51 35,11.4,11.6,1.56,"JH07,27",,,,,,,,JH01,JH27,,
NSV 1122,03 21 19.1,-66 18 06,13.6,14.2,2.01,JH27,,,,,,,,JH02,,,
GSC 9158-0919 (=ASAS J032246-7237.8),03 22 45.9,-72 37 46,12.1,12.4,3.11,JH08,,,,,,,,JH03,,,
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35,,,,,,,,,"JH04, SD28",JH28,SD15,SD30
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28,JH04,,,,,,,,JH05,JH27,,
GSC 9492-2623 (=ASAS J040320-8342.0,04 03 20.1,-83 41 59,11.9,12.2,2.06,JH07,,,,,,,,JH06,JH29,,
GSC 5894-0822 (=ASAS J042750-1846.3),04 27 49.6,-18 46 19,11.0,11.3,2.72,JH07,,,,,,,,"JH06, SD25","VMT27, SD15",,VMT31
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88,JH04,,,,,,,,JH17,,,
GSC 8077-0922 (=ASAS J045800-4555.6),04 57 59.6,-45 55 33,12.9,13.8,2.47,,,,,,,,,JH18,JH29,,
GSC 8083-1319 (=ASAS J045801-5011.2),04 58 01.3,-50 11 08,12.7,13.1,2.25,,,,,,,,,JH19,,,
GSC 5942-675 (=ASAS J061614-1925.3),06 16 14.2,-19 25 16,12.5,13.1,1.80,,JH21,,,,,,,,,SD14,
GSC 5371-0256 (=ASAS J061729-1202.9),06 17 29.0,-12 02 52,12.1,12.6,1.83,JH08,,,,,,,,,SD25,SD16,
GSC 5938-0276 (=ASAS J062018-1733.3) -- Non-radial,06 20 17.8,-17 33 15,12.7,13.2,1.72,"JH08, 26","JH21,22",JH01,,,,,,,JH30,,"JH23,24,25,26,27"
GSC 5951-2804 (=ASAS J062443-1816.7),06 24 42.9,-18 16 43,11.1,11.3,1.60,JH07,,,,,,,,,,,
GSC 8543-0414 (=ASAS J063245-5748.4),06 32 45.2,-57 48 20,12.5,13.0,2.18,JH07,,,,,,,,,,,
GSC 5391-0017 (=ASAS J064635-1455.5),06 46 35.1,-14 55 28,12.2,12.9,2.29,"JH07,08",,,,,,,,,,,
GSC 7636-1969 (=ASAS J065955-4201.2),06 59 54.8,-42 01 15,12.0,12.4,1.95,JH08,,,,,,,,,,,
GSC 5968-1693 (=ASAS J070529-1705.3),07 05 29.0,-17 05 18,12.1,12.5,2.16,,JH22,JH01,,,,,,,,,"SD05, VMT27"
GSC 8909-1936 (=ASAS J070918-6117.4),07 09 18.0,-61 17 24,11.9,12.2,1.75,,,,,JH02,,,,,,,
GSC 9179-0864 (=ASAS J071427-6907.6),07 14 27.0,-69 07 36,11.3,11.6,2.32,,,,,JH02,,,,,,,
GSC 5395-4405 (=ASAS J071941-0913.3),07 19 41.1,-09 13 19,11.6,11.8,2.20,,,,,JH02,,,,,SD29,,
GSC 5974-2665 (=ASAS J072448-1924.0),07 24 48.0,-19 23 60,10.8,11.1,2.58,,JH25,JH01,,JH02,,,,,,,"JH22,23, VMT27"
GSC 7656-2098 (=ASAS J073713-4429.1),07 37 13.0,-44 29 06,12.6,13.4,1.48,,,,,JH04,,,,,,,
GSC 5989-2164 (=ASAS J074918-1911.3),07 49 18.0,-19 11 18,12.1,12.6,2.54,,,,,JH04,,,,,,,
GSC 7650-2147 (=ASAS J075413-4005.3),07 54 13.0,-40 05 18,12.8,13.5,2.52,,,,,JH04,,,,,,,
GSC 8928-1300 (=ASAS J080102-6340.5),08 01 02.0,-63 40 30,11.2,11.4,1.82,,JH26,,,JH05,,,,,,,
GSC 5425-0343 (=ASAS J080529-1357.5),08 05 28.7,-13 57 31,12.7,13.3,2.41,,JH26,,,JH05,,,,,,,SD15
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77,,,,,JH06,,,,,,,SD07
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03,,,,,JH06,,,,,,,
GSC 6627-0161=SSS_J102728.0-274532,10 27 28.1,-27 45 33,14.8,15.0,1.12,,,,,JH07,JH24,,,,,,
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43,,,,,JH07,JH24,,,,,,
GSC 7737-0184 (=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46,,JH26,,JH24,JH07,JH22,,,,,,
GSC 6640-0450 (=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59,,,JH01,JH24,,JH22,,,,,,
GSC 9238-0506 (=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12.0,12.4,2.92,,,JH01,JH24,,JH22,,,,,,
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14.0,2.17,,,JH02,JH27,,JH23,,,,,,
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14,,,JH02,JH27,VMT01,JH23,,,,,,
GSC 5525-0031=CSS_J121402.3-123150,12 14 02.3,-12 31 50,14.3,14.8,2.13,,,JH04,JH28,VMT01,JH30,,,,,,
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84,,,JH04,JH28,,JH29,,,,,,
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75,,,JH03,,,JH26,,,,,,
GSC 7269-0239 (=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74,,JH27,,JH01,,JH26,,,,,,
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14,,JH27,,JH01,,JH27,,,,,,
GSC 4979-1239 (=NSVS 13316502),14 18 10.0,-04 05 22,13.4,14.2,2.05,,,JH05,JH02,VMT05,,,,,,,
QV Vir,14 18 36.7,-06 37 38,14.7,15.2,1.62,,,,JH02,VMT02,"VMT20, JH24",,,,,,
GSC 5574-0509 (=NSVS 16129835),14 20 16.7,-13 31 29,12.5,13.2,1.88,,JH27,,"JH01, 23",VMT02,VMT12,,,,,,
KV Lib,14 46 00.8,-10 13 16,14.1,14.7,1.76,,,,JH03,VMT05,JH27,,,,,,
GSC 5588-0315 (=ASAS J150900-1155.0),15 09 00.4,-11 55 01,13.0,14.0,1.81,,,,"JH03, 23",VMT05+31,VMT12,VMT05,,,,,
GSC 7318-1556,15 28 58.8,-32 44 21,13.8,14.2,2.72,,,,JH04,,JH23,,,,,,
GSC 6185-0215 (=CSS_J154132.9-161200),15 41 32.9,-16 12 00,14.6,15.1,1.92,,,,JH04,VMT31,"SD11,12,13,14",,JH28,,,,
GSC 8729-0957 (=ASAS J173551-5304.8),17 35 50.9,-53 04 48,12.2,12.9,2.72,,,,"JH27,28",,JH22,,,,,,
V1307 Sco,17 37 41.7,-42 31 05,10.1,10.7,2.81,,,,"JH27,28",JH30,JH22,,,,,,
GSC 7438-1045 (=ASAS J194734-3547.8),19 47 33.9,-35 47 45,11.2,11.8,1.52,,,,,JH30,JH23,,"JH28,29",,,,
GSC 8459-0201 (=ASAS J234003-4738.7),23 40 03.3,-47 38 38,11.4,11.8,2.67,,,,,"JH30, 31",JH22,,JH29,,,,
GSC 7519-0109 (=ASAS J235951-3343.5),23 59 51.2,-33 43 33,11.2,11.9,4.01,,,,,JH31,JH22,,"JH30,31","JH17,18,19",,,
,,,,,,,,,,,,,,,,,
Purple: multiple pulsation modes (observe on consecutive nights),,,,,,,,,,,,,,,,,
Blue coordinates: not yet observed,,,,,,,,,,,,,,,,,
Red: period changes found,,,,,,,,,,,,,,,,,
Orange: period changes possible,,,,,,,,,,,,,,,,,
