Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04,,,,,,,,,MAV23,,,
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,,,,,,,,,AB24,"FL7, RF24",RF20,
GP And (=GSC 1739-1526),00 55 18.1,+23 09 49,10.4,11,1.89,,,,,,,,,,"RP5, SD14+15",,
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,,,,,,,,MAV15,,,
GSC 0612-0771,01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,,,,,PNQ20
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.2,,,,,,,,JVW6,,,FD7,
GSC 2290-1195=2MASS J01092229+3602176 (Multiperiodic!),01 09 22.3,+36 02 17,13.6,13.8,1.87,FD17,,,,,,,,,,FD19,
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,,,,FD27,RDP30,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,BG16,,,,,,,,,PVC15,,"JH28, 29"
AX Tri,01 31 49.2,+35 13 24,14.5,15.1,1.66,"AB5, FD17",,,,,,,,AB26,"AB16, SD13",RF18,
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,WB22,,,,,,,,,,AB13,
GSC 1220-1131,02 16 30.2,+21 17 49,10.8,11.1,1.95,FN19,,,,,,,,,,FD22,
GSC 2843-1999 (=1SWASP J022738.70+431443.4),02 27 38.7,+43 14 43,13.5,13.9,1.49,,,,BG4,,,,,,,,FD18
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.8,FN21,,,,,,,,,,AB22,FD18+28
GSC 2861-0970 (=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,"FN20, FD20",,,,,,,,,,,FD28
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92,"FN5, MV21",,,,,,,,,,,MV07
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,BG9; BG11,FD13,,,, ,,,"JVW2+22, MAV23",,,
DDE 61 (=GSC 2396-0781),04 58 08.9,+34 08 50,13.6,13.9,2.50,,,,,,,,,,,RP16,RP16
GSC 1306-0466 (= ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,BG8,,FD10,,,,,,,,,
V799 Aur = GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,"BG15, MV22",,,,,,,,,,,
GSC 0753-1489 (= ASAS J070452+1027.5),07 04 52.4,+10 27 24,12.2,12.6,2.24,BG14,,JH22,JH26,,,,,,,,JH01
GSC 0191-1282 (= ASAS J073758+0552.3),07 37 58.4,+05 52 28,12.8,13.2,1.14,BG8,,JH22,,,,,,,,,JH01
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,,JH24,,,,,,,SD15,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,MV17,,,BG5,,,,,,SD14,,
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11,1.82,BG17,,BG14,"BG10, BG11, GCJ11, FL12",,,,,,,,
GSC 2496-0118 (=NSVS 7446012),09 14 52.4,+34 18 35,12.9,13.3,1.63,BG6,,BG19,GCJ12,,,,,,,,
GSC 3428-1497 (=HD 80366): multiperiodic,09 21 02.5,+49 05 54,9.3,9.8,1.78,MV20,,BG18,FL14,,,,,,,,
GSC 2998-0537,09 36 04.8,+44 40 42,13.3,13.9,1.30,,,,,,,,,,,,
GSC 3810-1553 (=NSVS 2522816),09 37 23.5,+55 08 48,13.1,13.4,1.70,FN19,"MV18, FD24",MV9+27,"BG6, FL21",,,,,,,,
GSC 2501-1015 (=NSVS 7467387): multiperiodic (unknown frequencies),09 47 05.6,+32 01 55,13.1,13.4,3.58,MV21,MV14,MV15,,FL6,,,,,,,
GSC 3004-0870,10 21 35.3,+40 31 41,13.8,14.3,1.97,,MV13,MV21,,,,,,,,,
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10,4.88,BG16,,MV16,BG7,,,,,,,,
GSC 4914-0997 (=LINEAR 23679553),10 57 58.3,-01 41 12,14.5,14.8,1.66,,,,,,,,,,,,
V451 Dra = GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34,"BG15, JVW22+26",JVW13,JVW10,"BG17,FD26",JVW26,,,,,,,
GSC 4923-0693,11 25 18.4,-00 47 14,13,13.7,1.60,,,,BG4,,,,,,,,
V398 UMa = GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,"FN19, MV22",,MV15,MV3,FL19,,,,,,,
V572 Cam = GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,"BG10, JVW16+17+20+21",,BG15,MV4,IS10,,,,,,,JVW28
PT Com = GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,,MV26,"AB15, FD18",FL31,,,,,,,
GSC 4163-0984,13 03 01.6,+60 01 16,12.7,13.2,1.91,AB26,,AB27,FD20,,,,,,,,
GT CVn = GSC 3031-0307: multiperiodic,13 30 03.4,+43 30 14,14.3,14.6,2.40,BG17,,MV24,,,,,,,,,
V416 UMa = GSC 3850-0137,13 30 50.9,+54 07 46,14,14.6,1.52,"AB19, DB26",,MV25,,,,,,,,,
GSC 0321-0314 (ASAS J142443+0438.8),14 24 43.4,+04 38 50,12.9,13.5,1.88,,,,BG5,AB5,,,,,,,
V467 Dra = GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,,,BG16,MV9,,,FL01,,,,,
GSC 0914-0684,14 47 29.9,+11 58 39,13.3,13.7,1.87,,,,BG6,,,,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10,2.33,,,JH06,BG12,,,,,,,,
V377 Boo = GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,MV20,,,MV8,,,,,,,,
GSC 4417-0394,15 22 39.8,+74 15 17,12.5,13,3.16,,,,"BG18, AB29",,,,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.5,,,,MV20,,,,,,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,,,JVW24+27,JVW8,,,,,,,,
GSC 0933-0651,15 36 02.0,+11 06 58,12.5,13,2.53,,,JH19,,,,,,,,,
GSC 3489-0868 (=NSVS 5201535),15 41 37.0,+51 59 25,12.8,13.3,2.08,,MV19,MV15,,,,,,,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,,MV23,AB9,,,,,,,,
GSC 5018-1085,15 46 13.5,-00 26 06,12.1,12.6,1.66,,,JH06,,,,,JH05,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,,"JH07, 08",,,,,JH08,,,,
GSC 2043-1201 (=ASAS J162643+2329.7),16 26 43.1,+23 29 42,11.9,12.2,1.87,,,,,,,,,,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,,JH18,,,,,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,JH07,,,,,,,,,
GSC 4196-1784,16 35 50.5,+66 19 33,13.5,14,4.13,MV21,MV13,,,,,,,,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,,MV14,,,,,,,,,,
V1086 Her (=GSC 2589-0536),16 48 39.3,+30 27 45,13.4,13.7,3.13,,,,BG9,,,,,,,,
GSC 2080-0986 (=ASAS J173701+2532.2),17 37 00.8,+25 32 10,13.3,13.6,2.38,,,,MV3,,,,,,,,
GSC 0429-2098 (=ASAS J175245+0700.7),17 52 45.1,+07 00 41,10.8,11.2,3.51,,,"JH09,11",,,,,"JH04, 05",,,,
GSC 3097-0583 (=NSVS 5362489),17 56 09.3,+43 00 54,12.9,13.4,2.02,,,MV27,,,,"FD13, 21",,,,,
GSC 2623-1174,18 24 39.3,+30 32 19,14.3,14.7,1.38,MV22,,MV16,,,,,,,,,
V593 Lyr (=GSC 3109-0162),18 32 06.6,+40 35 56,12.4,13,2.45,,,,,,"AB20, HH9",,,,,,
GSC 2108-1564,18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,,,,,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,,JVW25,,,JMF04,,,,
GSC 1594-2234,19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,,,,,,,
GSC 2640-0396 (=CzeV192),19 07 53.6,+30 38 31,13.9,14.2,1.87,,,,,MV25,MV26,FL12,,,,GCJ18,
V2684 Cyg = GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,MV25,,MV26,MV23,,,,,,
GSC 1061-1651,19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,AB21,,JH07,,,,
XX Cyg (=GSC 3948-2144),20 03 15.6,+58 57 17,11.3,12.1,3.24,,,MV25,,MV31,MV18,,,,,,
GSC 1076-0158,20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,,,JH05,,,GCJ6,
NSVS 14243430,20 11 34.5,+07 51 04,13,13.5,2.07,,,,,,,,JH08,,,,
V973 Cep= GSC 4464-0924 (multiperiodic),20 52 31.4,+70 54 39,12.4,12.7,1.94,,,MV26,,JVW5,MV14,FL22,FD27,,,,
GSC 2696-1396 (=NSVS 8653951),20 58 45.4,+34 06 47,12.8,13,2.47,,,,,,MV10,,,,,,
GSC 0513-0624 (=VSX J205846.6+014452),20 58 46.7,+01 44 52,12,12.3,1.74,,,,,,,,JH04,,,,
GSC 2194-2001 (=NSVS 8748519),21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,,,,,,,GCJ24,,
V2455 Cyg (=GSC 3590-1884),21 28 24.6,+46 40 31,8.5,9,2.26,,,,,,,,,,,,
V465 Peg (=NSVS 11672463),21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,,,AB29,AB23,,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,,MV1,,,,,,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,,,,,,,
V536 Peg (=GSC 1158-0921),22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,,,MV14,"MV02, 15",,RF16,
V547 Lac = GSC 3214-2097 (=NSVS 6124972),22 47 21.4,+39 09 22,12.1,12.4,2.29,,,,,,MV16,,,FL15,,,
DY Peg,23 08 51.2,+17 12 56,10,10.6,1.75,,,,,,,,,,,"PNQ13, RF14",
GSC 1716-1598 (= NSVS 11869292; multiperiodic),23 18 26.1,+17 57 44,13.2,13.6,2.38,,,,,,,,,AB02,,PNQ15,
CSS_J232053.7+373851,23 20 53.7,+37 38 52,14.5,14.9,g,,,,,,,,,FL22,,PNQ17,
,,,,,,,,,,,,,,,,,
NSV 323,00 51 15.3,-59 03 56,13,13.6,3.51,,,,,,"JH26, 27, 28",JH29,JH04,,,"JH27, 28",
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.2,,,,,,JH28,JH30,JH04,,,JH27,
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10,2.18,,JH6,,,,JH25,JH30,JH04,,,JH29,JH27
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15,,JH10,,,,,,JH01,,,,JH02
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14,1.8,,JH08,,,,,,JH01,,,,JH02
NSV 1122,03 21 19.1,-66 18 06,13.6,14.2,2.01,,JH08,,,,,,,,,JH30,JH30
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35,,JH11,,,,,,,,,JH30,JH31
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28,,JH12,,,,,,,,,JH30,
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88,,,JH21,,,,,,,,,JH01
GSC 5989-2164 (=ASAS J074918-1911.3),07 49 18.0,-19 11 18,12.1,12.6,2.54,JH3,,JH20,,,,,,,,,"JH02, 03"
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77,,,JH05,JH30,,,,,,,,
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03,,,"JH07,12",JH26,,,,,,,,
GSC 6627-0161=SSS_J102728.0-274532,10 27 28.1,-27 45 33,14.8,15,1.12,,JH12,,,,,,,,,,
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43,,"JH10,11",,,,,,,,,,
GSC 7737-0184 (=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46,,,,JH04,,,,,,,,
GSC 6640-0450 (=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59,,,,JH05,,,,,,,,
GSC 9238-0506 (=ASAS J113608-7404.4),11 36 07.9,-74 04 24,12,12.4,2.92,,,,"JH06, 07",,,,,,,,
GSC 6666-0739 (=SSS_J115224.9-235459),11 52 24.8,-23 54 59,13.6,14,2.17,,,,JH08,,,,,,,,
GSC 4935-0348 (=ASAS J115229-0245.1),11 52 29.1,-02 45 03,11.3,11.6,2.14,,,,"JH10, 11, 12",,,,,,,,
GSC 5525-0031=CSS_J121402.3-123150,12 14 02.3,-12 31 50,14.3,14.8,2.13,,,,JH13,,,,,,,,
NSV 5514,12 15 47.2,-36 14 05,13.9,14.4,3.84,,,,JH14,,,,,,,,
GSC 6676-0254 (=SSS_J121624.0-273120),12 16 24.0,-27 31 21,13.7,14.2,1.75,,,,"JH22, 23",,,,,,,,
GSC 7269-0239 (=ASAS J133213-3202.0),13 32 13.3,-32 02 05,12.2,12.7,2.74,,,JH03,,,,JH02,JH04,,,,
V1338 Cen,14 08 58.5,-46 36 43,10.2,10.7,3.14,,,JH03,,,,JH03,JH04,,,,
GSC 4979-1239 (=NSVS 13316502),14 18 10.0,-04 05 22,13.4,14.2,2.05,,,JH04,,,,,JH09,,,,
QV Vir,14 18 36.7,-06 37 38,14.7,15.2,1.62,,,JH04,,,,,JH09,,,,
GSC 5574-0509 (=NSVS 16129835),14 20 16.7,-13 31 29,12.5,13.2,1.88,,,JH04,,,JH25,,JH04,,,,
KV Lib,14 46 00.8,-10 13 16,14.1,14.7,1.76,,,JH05,,,JH26,,JH04,,,,
GSC 5588-0315 (=ASAS J150900-1155.0),15 09 00.4,-11 55 01,13,14,1.81,,,JH05,,,JH27,,"JH04, 05",,,,
GSC 7318-1556,15 28 58.8,-32 44 21,13.8,14.2,2.72,,,JH05,,,JH28,,JH07,,,,
GSC 6185-0215=CSS_J154132.9-161200,15 41 32.9,-16 12 00,14.6,15.1,1.92,,,JH14,,,,,JH06,,,,
GSC 8729-0957 (=ASAS J173551-5304.8),17 35 50.9,-53 04 48,12.2,12.9,2.72,,,JH13,,,,,"JH03, 04",,,,
V1307 Sco,17 37 41.7,-42 31 05,10.1,10.7,2.81,,,"JH11, 12",,,,,JH03,,,,
GSC 7438-1045 (=ASAS J194734-3547.8),19 47 33.9,-35 47 45,11.2,11.8,1.52,,,,,,JH30,,JH04,,,,
GSC 8459-0201 (=ASAS J234003-4738.7),23 40 03.3,-47 38 38,11.4,11.8,2.67,,,,,,JH25,JH31,,,,,
GSC 7519-0109 (=ASAS J235951-3343.5),23 59 51.2,-33 43 33,11.2,11.9,4.01,,,,,,"JH26, 27",JH31,JH04,,,"JH28, 29",
