Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04,"JH09,11,18,24,29","JH11,12,14,25,27","JH02-10,17-20",,,,,,,"JH01,06",DSU12,
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,"JH11,29",,,,,,SD10,,DSU29,JH02,DSU13,
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11,1.89,PV13,MK12,,,,,,,DSU21,"pv09, sd12",DSU09,pv12
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,"JH11,29",,,,,,,pv06,,JH06,,
LR Psc (=GSC 0612-0771=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,,DSU04,DSU18,,
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20,"JH09, PV24",,"PV02, pv24",pv26,,,,pv12,SD09,DSU18,,
"V791 And (=GSC 2290-1195=2MASS J01092229+3602176), multiperiodic!",01 09 22.3,+36 02 17,14.1,14.4,1.87,"JH09,11,18,24; PV18","JH11,14,25",,,,,SD18,,,"JH02,06",,
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,JH18,,,,,,,,DSU28,,,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,,,,,,,,,DSU29,,,
AX Tri (GSC 02301-01168),01 31 49.2,+35 13 24,14.5,15.1,1.66,JH18,,,,,,SD13,SD09,,DSU02,DSU09,
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,JH24,,,,,,,,SD10,,,
DR Ari (=GSC 1220-1131=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95,"JH09,29",pv 14,,,,,,,,pv06,,
V808 And,02 27 38.7,+43 14 43,13.5,13.9,1.49,JH24,,pv03,,,,,"SD11,pv11",pv29,"DSU10,11",pv09,
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80,,"pv 11,21",,,,,,,,pv02,,
V1090 Per (=GSC 2861-0970=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,,HH12,,,,,,,,DSU08,HH25,
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92,SD16,MK12,,,,,,,,,HH25,
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,SD16,,pv05,,,,"BW24,26","JVW10,12",,pv10,pv09,
GSC 2396-0781 (=DDE61),04 58 08.9,+34 08 50,14.8,15.2,2.50,SD18,SD18,,,,,,,,,,
V1425 Tau (=GSC 1306-0466=ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,"PV09, HH24","PV 04, 07","pv04,18",,,,,,SD29,SD10,DSU13,pv11
