Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04,,DSU05,DSU01,DSU03,,,,,DSU04,DSU01,,
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,,DSU07,,,,,SD28,,SD06,DSU10,,
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11,1.89,,DSU07,,,,,,,DSU08,DSU15,"HH28, FD30",FD06
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,DSU15,,,,,,,DSU24,,,FD17
LR Psc (=GSC 0612-0771=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,,"DSU05,BW17",pv22,,pv06
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20,,DSU06,DSU01,,,,,,"pv26,DSU26",,,
"V791 And (=GSC 2290-1195=2MASS J01092229+3602176), multiperiodic!",01 09 22.3,+36 02 17,14.1,14.4,1.87,,,,,,,,,"pv06 DSU29,30",,,
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,,,DSU23,,pv15,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,,,,,,,,,"BW05,06,07,11",DSU10,,
AX Tri (=GSC 02301-01168),01 31 49.2,+35 13 24,14.5,15.1,1.66,,,,,,,SD29,,SD06,DSU07,GCJ24,
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,,,,,,,,,DSU10,DSU17,,
DR Ari (=GSC 1220-1131=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95,,DSU14,,,,,,,pv05,HH09,HH,
V808 And,02 27 38.7,+43 14 43,13.5,13.9,1.49,"JH19,30","pv06, JH07,26,28",pv02,,,,,,"pv09, DSU09, JH30",JH,,JH17
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80,JH30,JH28,pv01,,,,,,DSU14,JH,,JH17
V1090 Per (=GSC 2861-0970=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,,,,,,,,,DSU23,JH,,"HH06, JH17"
GSC 0677-0014,04 30 39.1,+12 49 55,13.9,14.4,2.34,,,,,,,,,,,,
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92,JH19,"DSU06, JH07,26,28",,DSU04,,,,,SD30,SD03,,JH17
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,JH19,"DSU07, JH07,26,28",DSU02,NFD13,,,,JVW10,"JVW05,09, SD28",SD01,,JH17
GSC 2396-0781 (=DDE61),04 58 08.9,+34 08 50,14.8,15.2,2.50,,,DSU02,,,,,,SD27,SD02,SD24,JH17
V1425 Tau (=GSC 1306-0466=ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,,"pv05, FD07","FD02, HH02",,,,,,SD11,DSU01,,
V799 Aur = GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,"FD02, FD09",DSU27,FD02,DSU13,,,,,,,,"HH08, FD20"
GSC 4801-3841 (=ASAS J065937-0047.0; multiperiodic),06 59 36.7,-00 46 58,9.7,9.9,2.61,,DSU27,,,,,,,,,,
V488 Gem (=GSC 0753-1489=ASAS J070452+1027.5),07 04 52.4,+10 27 24,12.2,12.6,2.24,,DSU25,,,,,,,,,,
FS CMi (=GSC 0191-1282=ASAS J073758+0552.3),07 37 58.4,+05 52 28,12.8,13.2,1.14,,DSU14,TP01,DSU03,,,,,,,,
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,DSU15 TP14,TP01,,,,,,,,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,,DSU14,,,,,,,SD08,,,
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11.0,1.82,,"HH06, FD28",,DSU02,,,,,,,,
NP Lyn = GSC 2496-0118,09 14 52.4,+34 18 35,12.9,13.3,1.63,pv28,HH25,,DSU05,,,,,,,,JH17
V436 UMa (=GSC 3428-1497=HD 80366; multiperiodic),09 21 02.5,+49 05 54,9.3,9.8,1.78,,JH06,,,,,,,,,,
GSC 2998-0537 (multiperiodic),09 36 04.8,+44 40 42,13.3,13.9,1.30,,"pv06, JH06,25,27","pv01,27","FD16, FD19",,DSU03,,,,,,JH17
V447 UMa (=GSC 3810-1553 =NSVS 2522816),09 37 23.5,+55 08 48,13.1,13.4,1.70,,pv05,HH01,DSU19,DSU17,DSU08,,,,,pv11,JH17
GSC 2501-1015 (=NSVS 7467387; multiperiodic),09 47 05.6,+32 01 55,13.1,13.4,3.58,,"JH06,25,27",,,,,,,,,SD25,JH17
V468 UMa (=GSC 3004-0870),10 21 35.3,+40 31 41,13.8,14.3,1.97,pv28,"AB25, JH27",,DSU25,,,,,,,,
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10.0,4.88,,pv08,,,,,,,,,,SD23
