Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04,"DSU10,DSU28",,DSU07,,,pv26,,JVW09,DSU17,,,
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,DSU26,,,,,SD25,SD23,SD23,SD19,,,
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11,1.89,"FD09,TP09",,,,,,,DSU27,,TP23,,
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,FD19,,,,,,,,FD19,,TP28,
LR Psc (=GSC 0612-0771=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51,FD10,,,,,,,SD28,,DSU31,TP29,
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20,DSU18,,,,,,,pv28,,,,
"V791 And (=GSC 2290-1195=2MASS J01092229+3602176), multiperiodic!",01 09 22.3,+36 02 17,14.1,14.4,1.87,DSU26,,,,,,,pv11,,SD22,,
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,SD28,,,,,,,pv26,,,,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,DSU10,,,,,,,,pv18,pv23,SD,
AX Tri (=GSC 02301-01168),01 31 49.2,+35 13 24,14.5,15.1,1.66,DSU07,,,,,,,DSU28,,DSU05,AB29,
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,DSU08,,,,,,,,pv28,pv04,,
DR Ari (=GSC 1220-1131=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95,"SD24, FD26",,,,,,,,,,pv28,
V808 And,02 27 38.7,+43 14 43,13.5,13.9,1.49,"JH07,08,09,10,16, 26","DSU12, JH12","JH04,06",,,,,pv27,DSU18,,AB30,pv28
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80,"JH07,08,09,10,16, 26",JH12,"JH04,06",,,,,SD11,DSU19,,,
V1090 Per (=GSC 2861-0970=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64,"JH07,08,09,10,16, 26",JH12,"JH04,06",,,,,,,,pv05,
GSC 0677-0014,04 30 39.1,+12 49 55,13.9,14.4,2.34,,,,,,,,,pv20,,pv29,
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92,"JH07,08,09,10,16, 26",JH12,"JH04,06",,,,,,,,TP28,
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,"JH07,08,09,10,16, 26",JH12,"JH04,06,07,16,19,20",,DSU07,,,JVW10,,,TP29,
GSC 2396-0781 (=DDE61),04 58 08.9,+34 08 50,14.8,15.2,2.50,PV26,,,,,,,,pv18,,SD29,
V1425 Tau (=GSC 1306-0466=ASAS J053952+2001.2),05 39 52.2,+20 01 09,11.8,12.2,2.08,"PV07, DSU09, FD26",DSU12,pv27,,,,,,SD14,,,
V799 Aur,06 05 02.0,+55 09 51,10.4,10.7,1.83,"FD07,10,19, TP19",,"JH07,16,19,20",DSU01,,IS24,,,,,"FD21, 22",
GSC 4801-3841 (=ASAS J065937-0047.0; multiperiodic),06 59 36.7,-00 46 58,9.7,9.9,2.61,DSU28,,,,,,,,,,,
V488 Gem (=GSC 0753-1489=ASAS J070452+1027.5),07 04 52.4,+10 27 24,12.2,12.6,2.24,DSU08 AB09,,DSU07,,,,,,,,TP29,
FS CMi (=GSC 0191-1282=ASAS J073758+0552.3),07 37 58.4,+05 52 28,12.8,13.2,1.14,DSU08 AB26,DSU12,AT04,,,,,,,,AB29,
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,DSU26,TP12,,,,,,,,,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,DSU09,TP12,DSU24,,,,,,,,,
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11.0,1.82,"DSU10, FD16, FD28",FD12,DSU28,FD22,,,,,,,,
NP Lyn = GSC 2496-0118,09 14 52.4,+34 18 35,12.9,13.3,1.63,"JH07,08,09,10,16, 26",JH12,"JH04,06","JH21,22",,,,,,,AB30,
V436 UMa (=GSC 3428-1497=HD 80366; multiperiodic),09 21 02.5,+49 05 54,9.3,9.8,1.78,,,,,,,,,,,,
GSC 2998-0537 (multiperiodic),09 36 04.8,+44 40 42,13.3,13.9,1.30,"JH07,08,09,10,16, 26",JH12,"JH04,06","JH21,22",,,,,,,SD13,
V447 UMa (=GSC 3810-1553 =NSVS 2522816),09 37 23.5,+55 08 48,13.1,13.4,1.70,"JH07,08,09,10,16, 26",JH12,"JH04,06","SD22, JH21,22",,,,,,SD21,,
V354 Leo (=GSC 2501-1015=NSVS 7467387; multiperiodic),09 47 05.6,+32 01 55,13.1,13.4,3.58,"JH07,08,09,10,16, 26",JH12,"JH04,06","JH21,22",,,,,,,,
V468 UMa (=GSC 3004-0870),10 21 35.3,+40 31 41,13.8,14.3,1.97,AB10,,JH19,,,,,,,,SD29,
GSC 1426-0590 (=CSS_J102714.3+205943),10 27 14.3,+20 59 43,13.8,14.2,1.64,DSU10,,AT07,,,,,,,,,
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10.0,4.88,,,,TP2,,,,,,,,
GSC 4914-0997 (=LINEAR 23679553),10 57 58.3,-01 41 12,14.5,14.8,1.66,,SD02,JH,SD11,,,,,,,,
