Ster,RA,DEC,Max,Min,Periode,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,,,,CWR06,"CWR08,09",,,,,
GSC 3074-0114,16 41 06.9,+40 42 28,13.8,14.5,1.23,,,AA18,,,,,,,FN2,,
V1086 Her,16 48 39.3,+30 27 45,13.4,13.7,3.13,,,,,,,,,,,,
GSC 2080-0986,17 37 00.8,+25 32 10,13.3,13.6,2.38,,,,,,,,,FN29,,,
GSC 0429-2098,17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,,HH02,,,,,,
V593 Lyr,18 32 06.6,+40 35 56,12.4,13,2.45,,,,,AA22,,,RP08,AB29,,,
GSC 2108-1564,18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,JH26,,,AB30,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,JVW24,JVW24,,,CWR26,"JVW24,27,28,29","JVW01,14",JVW12,
GSC 1594-2234,19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,,,,,,,
GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,,,,JH16,,,,AB01,,
GSC 1061-1651,19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,,,,,,,
XX Cyg,20 03 15.6,+58 57 17,11.3,12.1,3.24,,,,,,HH16,CWR09,"CWR26,31",CWR05,HHU31,,
GSC 1621-1643,20 06 51.6,+17 43 27,11.6,11.9,2.75,,,,,,JH29,JH03,,,FN14,,
GSC 1076-0158,20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,,,HH01,,FN15,,
NSVS 14243430,20 11 34.5,+07 51 04,13,13.5,2.07,,,,,,,,,FN27,,,
GSC 4464-0924,20 52 31.4,+70 54 39,12.4,12.7,1.94,JVW20,,,"JVW09,18",,JVW03,,,,"HHU01, JVW31",,JVW10
GSC 2696-1396,20 58 45.4,+34 06 47,12.8,13,2.47,,,,,,,,,HHU24,,FN14,
V2455 Cyg,21 28 24.6,+46 40 31,8.5,9,2.26,,,,,,,,,HHU15,HHU20,,
NSVS 11672463,21 51 52.3,+17 44 44,13.3,13.5,2.59,,,,,,,,,HHU27,FN31,,
KZ Lac,22 18 46.5,+50 31 48,14.5,15.2,2.80,,,,,,,,,FN28,"FN14, KP19",KP03,
CY Aqr,22 37 47.8,+01 32 05,11.3,11.8,1.46,,,,,,,,MZ03,HHU28,KP13,,HHU09
GSC 1158-0921,22 39 54.2,+13 26 14,12.7,13.1,1.55,,,,,,,,,MV19,"FN1, JH14,15, KP18",,AA03
DY Peg,23 08 51.2,+17 12 56,10,10.6,1.75,,,,,,,,,MV01,"FN13, KP19",,RP07
