Name,RA,DEC,Max,Min,Period_h
GSC 5425-0343 (=ASAS J080529-1357.5),08 05 28.7,-13 57 31,12.7,13.3,2.41
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89
KP Lyn = GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11.0,1.82
NT Cam,08 24 17.4,+74 30 25,13.1,13.5,1.98
GSC 6575-2783 (=ASASSN-V J084548.24-253102.0),08 45 48.2,-25 31 02,13.1,13.9,1.7
NP Lyn = GSC 2496-0118,09 14 52.4,+34 18 35,12.9,13.3,1.63
V436 UMa (=GSC 3428-1497=HD 80366; multiperiodic),09 21 02.5,+49 05 54,9.3,9.8,1.78
GSC 2998-0537 (multiperiodic),09 36 04.8,+44 40 42,13.3,13.9,1.30
V447 UMa (=GSC 3810-1553 =NSVS 2522816),09 37 23.5,+55 08 48,13.1,13.4,1.70
V354 Leo (=GSC 2501-1015=NSVS 7467387; multiperiodic),09 47 05.6,+32 01 55,13.1,13.4,3.58
GSC 6603-0991 (=SSS_J095237.2-232827),09 52 37.3,-23 28 28,11.9,12.2,1.77
GSC 6608-1262 (=NSVS 18433413),10 01 35.5,-24 57 16,13.1,13.6,2.03
V468 UMa (=GSC 3004-0870),10 21 35.3,+40 31 41,13.8,14.3,1.97
GSC 1426-0590 (=CSS_J102714.3+205943),10 27 14.3,+20 59 43,13.8,14.2,1.64
GSC 6627-0161=SSS_J102728.0-274532,10 27 28.1,-27 45 33,14.8,15.0,1.12
GW UMa (=GSC 3011-2418),10 44 11.3,+44 40 44,9.5,10.0,4.88
KZ Hya,10 50 54.1,-25 21 15,9.5,10.3,1.43
GSC 4914-0997 (=LINEAR 23679553),10 57 58.3,-01 41 12,14.5,14.8,1.66
V554 Vel (=GSC 7737-0184=ASAS J110239-4423.9),11 02 39.4,-44 23 57,11.8,12.3,2.46
V673 Hya (=GSC 6640-0450=ASAS J110554-2557.2),11 05 54.1,-25 57 11,10.4,10.8,2.59
V451 Dra = GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34
V341 Leo = GSC 4923-0693 (=ASAS J112518-0047.3 =CSS_J112518.3-004714),11 25 18.4,-00 47 14,13.2,14.0,1.60
